area_id,num_transactions,population,age_0_17,age_18_64,age_65+
E05000026,33501,14370,4211,9421,738
E05000027,11053,10845,3205,6608,1032
E05000028,30970,13856,4180,8537,1139
E05000029,10516,10850,3023,6251,1576
E05000030,10539,11348,2747,6961,1640
E05000031,38637,12536,3800,7617,1119
E05000032,31019,12738,4486,7599,653
E05000033,16309,12065,3523,7285,1257
E05000034,9790,11629,3391,6873,1365
E05000035,49492,12381,3234,7822,1325
E05000036,24413,10813,3323,6354,1136
E05000037,12712,10811,3177,6522,1112
E05000038,13189,11636,3609,6926,1101
E05000039,47525,13943,5007,8203,733
E05000040,13338,10617,3101,6365,1151
E05000041,11148,11253,3175,6777,1301
E05000042,14957,11410,3089,7059,1262
E05000043,188281,16642,3799,10129,2714
E05000044,139255,19377,5279,12212,1886
E05000045,265371,21323,4628,14023,2672
E05000046,116139,21777,5531,14540,1706
E05000047,536375,18640,4183,12383,2074
E05000048,163323,16863,4113,10309,2441
E05000049,247861,17045,3640,11063,2342
E05000050,94955,17490,4637,10189,2664
E05000051,375667,16447,3557,9987,2903
E05000052,158871,16331,3629,9755,2947
E05000053,465819,20255,5996,11843,2416
E05000054,77817,18393,4842,11006,2545
E05000055,365674,19158,4269,12581,2308
E05000056,135994,16264,3349,9984,2931
E05000057,168660,19234,4683,11802,2749
E05000058,226767,16434,3556,9992,2886
E05000059,167180,15477,3423,9230,2824
E05000060,115232,16713,3926,9866,2921
E05000061,403216,17658,3663,11713,2282
E05000062,168667,18500,4045,12330,2125
E05000063,311252,18757,4006,12099,2652
E05000085,52214,15702,3760,10393,1549
E05000086,53781,16359,4104,10137,2118
E05000087,48385,13099,2489,8886,1724
E05000088,153161,13440,3647,8138,1655
E05000089,123630,15804,3647,10435,1722
E05000090,32445,13638,3283,8593,1762
E05000091,165885,17607,4836,11208,1563
E05000092,106835,15394,3376,10619,1399
E05000093,38437,11944,2389,7190,2365
E05000094,68722,16807,3655,11546,1606
E05000095,77079,16377,2978,11835,1564
E05000096,100024,13552,2660,8981,1911
E05000097,96186,16053,3761,10135,2157
E05000098,80821,15079,3115,10492,1472
E05000099,60704,15330,3573,9724,2033
E05000100,355818,17522,5530,10304,1688
