area_id,num_transactions,population,age_0_17,age_18_64,age_65+
E05000026,29740,14370,4211,9421,738
E05000027,10636,10845,3205,6608,1032
E05000028,29074,13856,4180,8537,1139
E05000029,8689,10850,3023,6251,1576
E05000030,10729,11348,2747,6961,1640
E05000031,36822,12536,3800,7617,1119
E05000032,29280,12738,4486,7599,653
E05000033,14302,12065,3523,7285,1257
E05000034,9154,11629,3391,6873,1365
E05000035,47006,12381,3234,7822,1325
E05000036,24047,10813,3323,6354,1136
E05000037,10981,10811,3177,6522,1112
E05000038,12350,11636,3609,6926,1101
E05000039,42154,13943,5007,8203,733
E05000040,12087,10617,3101,6365,1151
E05000041,11342,11253,3175,6777,1301
E05000042,13146,11410,3089,7059,1262
E05000043,172050,16642,3799,10129,2714
E05000044,125622,19377,5279,12212,1886
E05000045,242881,21323,4628,14023,2672
E05000046,108430,21777,5531,14540,1706
E05000047,499388,18640,4183,12383,2074
E05000048,148679,16863,4113,10309,2441
E05000049,234635,17045,3640,11063,2342
E05000050,84132,17490,4637,10189,2664
E05000051,345696,16447,3557,9987,2903
E05000052,146252,16331,3629,9755,2947
E05000053,395982,20255,5996,11843,2416
E05000054,79522,18393,4842,11006,2545
E05000055,339330,19158,4269,12581,2308
E05000056,128620,16264,3349,9984,2931
E05000057,154448,19234,4683,11802,2749
E05000058,204460,16434,3556,9992,2886
E05000059,151616,15477,3423,9230,2824
E05000060,102826,16713,3926,9866,2921
E05000061,376489,17658,3663,11713,2282
E05000062,157643,18500,4045,12330,2125
E05000063,287282,18757,4006,12099,2652
E05000085,45456,15702,3760,10393,1549
E05000086,53944,16359,4104,10137,2118
E05000087,45274,13099,2489,8886,1724
E05000088,146854,13440,3647,8138,1655
E05000089,112105,15804,3647,10435,1722
E05000090,30005,13638,3283,8593,1762
E05000091,154143,17607,4836,11208,1563
E05000092,98601,15394,3376,10619,1399
E05000093,38365,11944,2389,7190,2365
E05000094,65346,16807,3655,11546,1606
E05000095,72673,16377,2978,11835,1564
E05000096,92550,13552,2660,8981,1911
E05000097,91489,16053,3761,10135,2157
E05000098,72980,15079,3115,10492,1472
E05000099,55871,15330,3573,9724,2033
E05000100,333186,17522,5530,10304,1688
E05000101,98263,15483,3798,9960,1725
